id,name,points
1,bobby,11890
2,bobby,14554
3,bobby,42291
4,bobby,7611
5,bobby,29277
6,bobby,9674
7,bobby,40532
8,bobby,8677
9,bobby,24250
10,bobby,7594
11,bobby,18348
12,bobby,24587
13,bobby,45505
14,bobby,13263
15,bobby,44660
16,bobby,11018
17,bobby,31590
18,bobby,28554
19,bobby,16608
20,bobby,5223
21,bobby,25147
22,bobby,28370
23,bobby,42709
24,bobby,2008
25,bobby,5402
26,bobby,31970
27,bobby,656
28,bobby,36010
29,bobby,5091
30,bobby,24148
31,bobby,12718
32,bobby,33835
33,bobby,44840
34,bobby,37995
35,bobby,36015
36,bobby,45382
37,bobby,46431
38,bobby,18884
39,bobby,44988
40,bobby,38944
41,bobby,16213
42,bobby,9712
43,bobby,49778
44,bobby,8065
45,bobby,35402
46,bobby,25076
47,bobby,46816
48,bobby,35817
49,bobby,5260
50,bobby,10461
51,bobby,27970
52,bobby,35272
53,bobby,3912
54,bobby,25527
55,bobby,9810
56,bobby,13711
57,bobby,31931
58,bobby,22411
59,bobby,1994
60,bobby,23363
61,bobby,3888
62,bobby,1906
63,bobby,8003
64,bobby,19892
65,bobby,34445
66,bobby,26736
67,bobby,34346
68,bobby,13623
69,bobby,23297
70,bobby,13828
71,bobby,22505
72,bobby,46754
73,bobby,4347
74,bobby,22695
75,bobby,47282
76,bobby,42786
77,bobby,6049
78,bobby,709
79,bobby,11726
80,bobby,43316
81,bobby,21870
82,bobby,38478
83,bobby,43701
84,bobby,18847
85,bobby,47217
86,bobby,39925
87,bobby,41932
88,bobby,47333
89,bobby,29303
90,bobby,29959
91,bobby,15968
92,bobby,21059
93,bobby,45206
94,bobby,7924
95,bobby,41758
96,bobby,36598
97,bobby,24592
98,bobby,10607
99,bobby,5988
100,bobby,2419
101,bobby,21302
102,bobby,16290
103,bobby,5234
104,bobby,21446
105,bobby,31158
106,bobby,30936
107,bobby,39000
108,bobby,24402
109,bobby,49478
110,bobby,46293
111,bobby,32109
112,bobby,37369
113,bobby,47829
114,bobby,25799
115,bobby,11070
116,bobby,14982
117,bobby,40509
118,bobby,318
119,bobby,14029
120,bobby,45959
121,bobby,18369
122,bobby,20363
123,bobby,43726
124,bobby,47613
125,bobby,49519
126,bobby,7521
127,bobby,27412
128,bobby,11857
129,bobby,38593
130,bobby,22939
131,bobby,36562
132,bobby,9858
133,bobby,23686
134,bobby,46190
135,bobby,42944
136,bobby,47290
137,bobby,19985
138,bobby,17266
139,bobby,10052
140,bobby,16101
141,bobby,16809
142,bobby,28535
143,bobby,21850
144,bobby,43720
145,bobby,32197
146,bobby,25898
147,bobby,44744
148,bobby,41961
149,bobby,31885
150,bobby,23817
151,bobby,21150
152,bobby,452
153,bobby,30410
154,bobby,46378
155,bobby,17436
156,bobby,12641
157,bobby,20564
158,bobby,12322
159,bobby,48919
160,bobby,23511
161,bobby,34118
162,bobby,40105
163,bobby,42524
164,bobby,13825
165,bobby,30114
166,bobby,35347
167,bobby,6793
168,bobby,37950
169,bobby,18885
170,bobby,7885
171,bobby,32287
172,bobby,31764
173,bobby,28057
174,bobby,10165
175,bobby,47534
176,bobby,45362
177,bobby,21160
178,bobby,32230
179,bobby,47212
180,bobby,37720
181,bobby,38038
182,bobby,2066
183,bobby,48025
184,bobby,16394
185,bobby,36757
186,bobby,30482
187,bobby,28095
188,bobby,27613
189,bobby,35133
190,bobby,12545
191,bobby,24402
192,bobby,12994
193,bobby,35932
194,bobby,22493
195,bobby,32351
196,bobby,6037
197,bobby,2226
198,bobby,45170
199,bobby,42460
200,bobby,12444
201,bobby,29709
202,bobby,39761
203,bobby,5861
204,bobby,22670
205,bobby,1204
206,bobby,23054
207,bobby,16774
208,bobby,48971
209,bobby,24868
210,bobby,19611
